Source;Target;Type;Id;Relation
001;389;Directed;001;Relation
001;094;Directed;002;Relation
002;386;Directed;003;Relation
004;082;Directed;004;Relation
005;055;Directed;005;Relation
005;122;Directed;006;Relation
005;141;Directed;007;Relation
006;006;Directed;008;Relation
006;080;Directed;009;Relation
009;124;Directed;010;Relation
009;008;Directed;011;Relation
010;197;Directed;012;Relation
010;312;Directed;013;Relation
010;191;Directed;014;Relation
010;104;Directed;015;Relation
010;267;Directed;016;Relation
010;364;Directed;017;Relation
010;315;Directed;018;Relation
010;137;Directed;019;Relation
010;260;Directed;020;Relation
010;302;Directed;021;Relation
010;024;Directed;022;Relation
010;254;Directed;023;Relation
010;181;Directed;024;Relation
012;030;Directed;025;Relation
013;101;Directed;026;Relation
013;247;Directed;027;Relation
013;218;Directed;028;Relation
013;100;Directed;029;Relation
013;304;Directed;030;Relation
013;257;Directed;031;Relation
013;400;Directed;032;Relation
013;187;Directed;033;Relation
013;223;Directed;034;Relation
013;201;Directed;035;Relation
015;311;Directed;036;Relation
016;130;Directed;037;Relation
017;097;Directed;038;Relation
018;350;Directed;039;Relation
018;165;Directed;040;Relation
020;054;Directed;041;Relation
022;055;Directed;042;Relation
023;409;Directed;043;Relation
025;411;Directed;044;Relation
026;117;Directed;045;Relation
026;371;Directed;046;Relation
026;393;Directed;047;Relation
027;311;Directed;048;Relation
028;301;Directed;049;Relation
029;110;Directed;050;Relation
032;157;Directed;051;Relation
033;159;Directed;052;Relation
034;040;Directed;053;Relation
035;112;Directed;054;Relation
035;236;Directed;055;Relation
035;159;Directed;056;Relation
038;289;Directed;057;Relation
038;412;Directed;058;Relation
039;039;Directed;059;Relation
039;173;Directed;060;Relation
039;317;Directed;061;Relation
039;404;Directed;062;Relation
039;313;Directed;063;Relation
039;132;Directed;064;Relation
039;132;Directed;065;Relation
039;132;Directed;066;Relation
041;246;Directed;067;Relation
042;073;Directed;068;Relation
042;196;Directed;069;Relation
042;081;Directed;070;Relation
042;042;Directed;071;Relation
043;297;Directed;072;Relation
043;295;Directed;073;Relation
045;086;Directed;074;Relation
047;003;Directed;075;Relation
050;019;Directed;076;Relation
051;006;Directed;077;Relation
051;053;Directed;078;Relation
051;249;Directed;079;Relation
053;053;Directed;080;Relation
053;429;Directed;081;Relation
054;292;Directed;082;Relation
055;059;Directed;083;Relation
055;055;Directed;084;Relation
056;382;Directed;085;Relation
056;403;Directed;086;Relation
056;180;Directed;087;Relation
056;203;Directed;088;Relation
057;218;Directed;089;Relation
057;400;Directed;090;Relation
057;101;Directed;091;Relation
060;297;Directed;092;Relation
060;449;Directed;093;Relation
060;274;Directed;094;Relation
061;313;Directed;095;Relation
062;011;Directed;096;Relation
062;011;Directed;097;Relation
063;307;Directed;098;Relation
064;416;Directed;099;Relation
065;445;Directed;100;Relation
066;403;Directed;101;Relation
066;180;Directed;102;Relation
068;365;Directed;103;Relation
069;412;Directed;104;Relation
069;405;Directed;105;Relation
069;069;Directed;106;Relation
072;080;Directed;107;Relation
073;145;Directed;108;Relation
073;119;Directed;109;Relation
073;118;Directed;110;Relation
073;201;Directed;111;Relation
074;154;Directed;112;Relation
074;250;Directed;113;Relation
074;447;Directed;114;Relation
074;324;Directed;115;Relation
074;380;Directed;116;Relation
076;240;Directed;117;Relation
076;288;Directed;118;Relation
076;253;Directed;119;Relation
077;151;Directed;120;Relation
081;146;Directed;121;Relation
081;032;Directed;122;Relation
081;107;Directed;123;Relation
081;107;Directed;124;Relation
082;328;Directed;125;Relation
085;294;Directed;126;Relation
086;064;Directed;127;Relation
087;372;Directed;128;Relation
087;235;Directed;129;Relation
089;132;Directed;130;Relation
089;089;Directed;131;Relation
090;090;Directed;132;Relation
090;088;Directed;133;Relation
091;096;Directed;134;Relation
092;158;Directed;135;Relation
092;381;Directed;136;Relation
092;237;Directed;137;Relation
092;405;Directed;138;Relation
093;308;Directed;139;Relation
095;207;Directed;140;Relation
095;193;Directed;141;Relation
095;408;Directed;142;Relation
095;436;Directed;143;Relation
098;331;Directed;144;Relation
099;159;Directed;145;Relation
100;187;Directed;146;Relation
101;400;Directed;147;Relation
101;057;Directed;148;Relation
