Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
DOMAIN;DPO;SEON:Domain Layer:DPO;Data Design;event;SPO:Performed Simple Activity   ;Activity for producing a detailed Data Model for data storage and management.;;3
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Estimated Process;Scope Estimated Activity;;SPO:Project Activity   ;A Project Activity with its scope in the project defined in terms of the work packages that it shall produce.;;1
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;Mental User Input Resulting State;;HCIDO:HCI Design Proposition   SDRO:Software Design Proposition   ;A Software Design Proposition describing situations, conditions or constraints related to actions that users can or cannot perform in a Mental HCI Design Component (e.g., a button that can only be clicked after filling all required fields in a form, a text input field that accepts only numbers);;3
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Loaded Compliance Program Copy;;RRO:Loaded RRT Program Copy   ;Loaded Compliance Program Copy is the materialization of a Compliance Program.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Rigid Sortal Universal;;UFO:Sortal Universal   ;;;0
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Object;HCI Design Object;;SDRO:Software Design Object   HCIO:Interactive Software System   ;A Software Design Object is an Interactive Software System that plays the role of Software Design Object and implements a Mental HCI Design Object.;;3
CORE;EO;SEON:Core Layer:EO:Organizational Structure;Organizational Unit Type;2ndOT;;;;4
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Process Universal;2ndOT;UFO:Complex Action Universal   ;Complex Action Universal representing any generic process in an Organization (formalized or not), which is the powertype of every Performed Process.; a formalized Standard Process (e.g. Development Process), a non-formalized generic process (e.g. Reuse Process).;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Closed CR;phase;CMPO:Change Request (CR)   ;Change Request closed after solved, reviewed and approved.;;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Request Closing;event;;Activity for closing a reviewed and approved Change Request.;;3
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Software Measurement Analysis;event;SPO:Performed Composite Activity   COM:Measurement Analysis   ;Activity for analyzing Measured Values collected for Software-Related Measures aiming to characterize a Software-Related Measurable Entity and provide information related to a Software Measurement Goal. ; a software measurement analysis that analyzed the measured values 0.75, 0.9 e 1, collected for the measure schedule performance index to characterize the software-related measurable entity Project P.    ;15
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Reference Structure;;UFO:Set   ;;;1
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Standard Process;2ndOT;SPO:Process Universal   RSMO:Measurable Software-Related Entity   ;Complex Action Universal representing a generic process institutionalized in an Organization, establishing basic requirements for Intended Processes to be performed in that Organization or in its Projects.; Development, Training, Acquisition standard processes.;3
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Techniques;Testing Technique Type;2ndOT;;Major types of testing techniques such as black-box, white-box, model-based and mutation testing techniques.;;2
DOMAIN;HCIEO;HCI-ON:Domain Layer:HCIEO:Central View;HCI Evaluation;;UFO:Complex Action   ;Intentional event (i.e., a Complex Action) caused by the HCI Evaluator Intention and that consists in the systematic determination of the extent to which an Interactive Computer System (or its User Interface) quality characteristics meet the HCI Evaluation criteria considered in the evaluation.; evaluation of the usability of the checkout system of an e-commerce web site. ;12
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Object Participation;;UFO:Participation   ;Object Participation is a set of different ways than an object can participate in actions. There are four different types of Object Participation, namely: Creation, Termination, Change and Usage.;;1
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Design Time Requirement Artifact;;RSRO:Requirement Artifact   ;Design Time Requirement Artifact is a Requirement Artifact written in natural language or other format that could not be processed by a program at runtime. It is a Requirement Artifact to be used during design time.;;0
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Baseline;subkind;SysSwO:Information Item   ;Information Item packaging a set of Configuration Items' Versions at a specific time in the product's life (for a product delivery or to establish a relevant point in the Project).; Release 01 Baseline, established for the first delivered product for the client, Planning baseline, established after project planning is established and agreed.;4
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Request Evaluator;role;SPO:Stakeholder   ;Stakeholder responsible for evaluating if a Change Request should be implemented or not.;;1
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Resource Participation;Software Resource Participation;event;UFO:Usage   ;The participation of a Software Product as Resource in a Performed Activity.; the use of the MS Project in a Project Scheduling activity.;2
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Implementation;event;SPO:Performed Composite Activity   ;Activity for implementing the changes requested and approved for a Configuration Item.;;4
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Evaluated Process;role;SPO:Performed Process   ;Process objectively evaluated.;;1
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Mental Aspects;Software Designer Mental Moment;;UFO:Mental Moment   ;A mental moment inhering in a Software Designer.;;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Unit Testing;event;ROoST:Level-based Testing   ;Level-based Testing focusing on the unit or the individual components that have been developed, ensuring that the unit functions correctly in isolation.;;0
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Object;Loaded HCI Design Component;;SDRO:Loaded Software Design Component   HCIO:Loaded User Interface Program Copy   ;A Loaded User Interface Program that plays the role of Loaded Software Design Component (i.e., a copy of a programs that deals with user interface aspects loaded in the memory of an interactive computer system);;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;xOrganization;;UFO:Social Agent   ;;;0
CORE;COM;SEON:Core Layer:COM:Measure;Base Measure;;COM:Measure   ;Measure used to quantify a Directly Measurable Element.; the base measure height in meters can be used to quantify the directly measurable element height.;2
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Software-Related Measure;;COM:Measure   ;Measure used to quantify Measurable Elements of Measurable Software-Related Entities.; the software-related measure number of lines of code could be used to quantify the measurable element size of measurable-related entities of the Software type.;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Externally Dependent Moment;;UFO:Intrinsic Moment   ;;;1
DOMAIN;SPMO;SEON:Domain Layer:SPMO;Project Manager;role;SPO:Person Stakeholder   ;Stakeholder responsible for managing a Project.;;1
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Noncompliance Control;event;SPO:Performed Composite Activity   ;Activity for managing the registered noncompliances until their effective resolution.;;6
